,Classifier,Accuracy,Precision,Recall,F1
0,Random Forest,0.5569,0.5595647193585338,0.5798219584569733,0.5695132614398135
1,SVC,0.5748,0.570999115826702,0.6387734915924826,0.6029878618113912
2,Gradient Boosting,0.587,0.5843516323180741,0.6338278931750742,0.6080850256215601
