,Classifier,Accuracy,Precision,Recall,F1
0,Random Forest,0.718,0.718389681453977,0.7272007912957468,0.722768383798663
1,SVC,0.7282,0.7278221875609281,0.7384767556874382,0.7331107619795758
2,Gradient Boosting,0.7225,0.7137232845894264,0.7531157270029674,0.7328905573202426
