,Classifier,Accuracy,Precision,Recall,F1
0,Random Forest,0.8495,0.8552842273819056,0.845301681503462,0.8502636553576759
1,SVC,0.8603,0.8556981719175418,0.8704253214638972,0.8629989212513485
2,Gradient Boosting,0.8044,0.7790383576445165,0.8557863501483679,0.8156108597285068
