,Classifier,Accuracy,Precision,Recall,F1
0,Random Forest,0.8242,0.8277987671505269,0.8235410484668645,0.8256644188813963
1,SVC,0.8628,0.8562584639195202,0.875568743818002,0.8658059467918623
2,Gradient Boosting,0.8022,0.7777577179996389,0.8522255192878339,0.8132905418161224
