metric_category,scope,explanation_type,explainer,metric,n_features,value,time
stability,local,feature_importance,LimeExplainer,ChangeSeedMetric,10,0.9999995022898673,0.9255352020263672
consistency,local,feature_importance,LimeExplainer,SensitivityMetric,10,0.9999979081433036,0.9428966045379639
completeness,local,feature_importance,LimeExplainer,FaithfulnessCorrelationMetric,10,-0.022409306127357878,4.0285117626190186
parsimony,local,feature_importance,LimeExplainer,ComplexityMetric,10,0.9944873425279802,0.45334315299987793
stability,local,feature_importance,ShapExplainer,ChangeSeedMetric,10,0.9823671806195233,0.05803179740905762
consistency,local,feature_importance,ShapExplainer,SensitivityMetric,10,0.9966602413090906,0.043646812438964844
completeness,local,feature_importance,ShapExplainer,FaithfulnessCorrelationMetric,10,,0.22320032119750977
parsimony,local,feature_importance,ShapExplainer,ComplexityMetric,10,0.10918641729417677,0.026288747787475586
soundness,any,feature_importance,RandomFeatureImportanceExplainer,FidelityMetric,10,0.5295885778696224,0.09374380111694336
stability,any,feature_importance,RandomFeatureImportanceExplainer,ChangeSeedMetric,10,0.28851624640040185,0.0
consistency,any,feature_importance,RandomFeatureImportanceExplainer,SensitivityMetric,10,0.6733269836387854,41.91993546485901
completeness,any,feature_importance,RandomFeatureImportanceExplainer,FaithfulnessCorrelationMetric,10,-0.8221543884502205,0.015375375747680664
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ComplexityMetric,10,0.022409540589750643,0.0
soundness,any,rule_based,RandomRuleExplainer,FidelityMetric,10,0.5295885778696224,0.2569279670715332
parsimony,any,rule_based,RandomRuleExplainer,NumberRulesMetric,10,100.0,0.0009911060333251953
stability,any,rule_based,RandomRuleExplainer,ChangeSeedMetric,10,0.0,0.0
contextfulness,any,rule_based,RandomRuleExplainer,RuleCoverageMetric,10,0.26184,1.1685757637023926
contextfulness,any,rule_based,RandomRuleExplainer,RuleOverlapMetric,10,0.089048,17.498879432678223
consistency,any,rule_based,RandomRuleExplainer,SensitivityMetric,10,0.3333333333333333,41.03953528404236
soundness,global,rule_based,SurrogateDecisionTreeExplainer,FidelityMetric,10,0.8765613256504778,0.07737565040588379
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,NumberRulesMetric,10,20.0,0.05902385711669922
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,AvgRuleLengthMetric,10,4.833333333333333,0.05952000617980957
stability,global,rule_based,SurrogateDecisionTreeExplainer,ChangeSeedMetric,10,1.0,0.06596779823303223
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleCoverageMetric,10,0.26898,1.60158371925354
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleOverlapMetric,10,0.005644,16.304015636444092
consistency,global,rule_based,SurrogateDecisionTreeExplainer,SensitivityMetric,10,1.0,41.8351194858551
soundness,global,feature_importance,SurrogateLogisticRegressionExplainer,FidelityMetric,10,0.9985048592075754,0.07489633560180664
stability,global,feature_importance,SurrogateLogisticRegressionExplainer,ChangeSeedMetric,10,1.0,0.05207991600036621
consistency,global,feature_importance,SurrogateLogisticRegressionExplainer,SensitivityMetric,10,1.0,41.554383516311646
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ComplexityMetric,10,0.07997505015639794,0.052576303482055664
soundness,global,feature_importance,SurrogateMultinomialNBExplainer,FidelityMetric,10,0.8642345493919706,0.024303436279296875
stability,global,feature_importance,SurrogateMultinomialNBExplainer,ChangeSeedMetric,10,1.0,0.005952119827270508
consistency,global,feature_importance,SurrogateMultinomialNBExplainer,SensitivityMetric,10,1.0,41.66548752784729
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ComplexityMetric,10,0.001413894764069612,0.005951881408691406
