metric_category,scope,explanation_type,explainer,metric,n_features,value,time
parsimony,local,rule_based,AnchorExplainer,ExecutionTimeMetric,1000,2.7396063566207887,27.74574327468872
parsimony,local,feature_importance,LimeExplainer,ExecutionTimeMetric,1000,1.0820735931396483,10.820735931396484
parsimony,local,feature_importance,ShapExplainer,ExecutionTimeMetric,1000,40.17659432888031,401.7713990211487
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ExecutionTimeMetric,1000,0.0,0.0009927749633789062
parsimony,any,rule_based,RandomRuleExplainer,ExecutionTimeMetric,1000,0.0,0.00049591064453125
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,ExecutionTimeMetric,1000,0.7824896335601806,8.685951471328735
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ExecutionTimeMetric,1000,0.43900959491729735,4.828559637069702
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ExecutionTimeMetric,1000,0.012102389335632324,0.1334240436553955
