metric_category,scope,explanation_type,explainer,metric,n_features,value,time
parsimony,local,rule_based,AnchorExplainer,ExecutionTimeMetric,10000,0.687307071685791,7.236143589019775
parsimony,local,feature_importance,LimeExplainer,ExecutionTimeMetric,10000,1.1432303428649901,11.432303428649902
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ExecutionTimeMetric,10000,0.000545501708984375,0.022815942764282227
parsimony,any,rule_based,RandomRuleExplainer,ExecutionTimeMetric,10000,9.903907775878906e-05,0.0014882087707519531
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,ExecutionTimeMetric,10000,1.4732687711715697,16.51382350921631
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ExecutionTimeMetric,10000,1.2984287738800049,14.307615756988525
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ExecutionTimeMetric,10000,0.01706240177154541,0.19046401977539062
