metric_category,scope,explanation_type,explainer,metric,n_features,value,time
stability,local,feature_importance,LimeExplainer,ChangeSeedMetric,1000,0.9996291239673767,1.2826554775238037
consistency,local,feature_importance,LimeExplainer,SensitivityMetric,1000,0.9997000193072582,1.1918885707855225
completeness,local,feature_importance,LimeExplainer,FaithfulnessCorrelationMetric,1000,0.9099658014167427,4.991743564605713
parsimony,local,feature_importance,LimeExplainer,ComplexityMetric,1000,0.11668696688323976,0.4687192440032959
stability,local,feature_importance,ShapExplainer,ChangeSeedMetric,1000,0.9989542469287517,78.54358196258545
consistency,local,feature_importance,ShapExplainer,SensitivityMetric,1000,0.9997604818623809,77.13891005516052
completeness,local,feature_importance,ShapExplainer,FaithfulnessCorrelationMetric,1000,0.7815280296676423,414.6361515522003
parsimony,local,feature_importance,ShapExplainer,ComplexityMetric,1000,0.05740137186101524,37.936559200286865
soundness,any,feature_importance,RandomFeatureImportanceExplainer,FidelityMetric,1000,0.5078026481715007,0.10416007041931152
stability,any,feature_importance,RandomFeatureImportanceExplainer,ChangeSeedMetric,1000,0.46115687228642877,0.0004956722259521484
consistency,any,feature_importance,RandomFeatureImportanceExplainer,SensitivityMetric,1000,0.8463464855034715,70.41910243034363
completeness,any,feature_importance,RandomFeatureImportanceExplainer,FaithfulnessCorrelationMetric,1000,,0.015375852584838867
parsimony,any,feature_importance,RandomFeatureImportanceExplainer,ComplexityMetric,1000,0.11296417348920218,0.0
soundness,any,rule_based,RandomRuleExplainer,FidelityMetric,1000,0.5078026481715007,0.09721612930297852
parsimony,any,rule_based,RandomRuleExplainer,NumberRulesMetric,1000,100.0,0.0004968643188476562
stability,any,rule_based,RandomRuleExplainer,ChangeSeedMetric,1000,0.0,0.0004961490631103516
contextfulness,any,rule_based,RandomRuleExplainer,RuleCoverageMetric,1000,0.98848,0.7747516632080078
contextfulness,any,rule_based,RandomRuleExplainer,RuleOverlapMetric,1000,0.08437466666666668,20.395023345947266
consistency,any,rule_based,RandomRuleExplainer,SensitivityMetric,1000,0.0,68.81156659126282
soundness,global,rule_based,SurrogateDecisionTreeExplainer,FidelityMetric,1000,0.7808863310397415,0.8233592510223389
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,NumberRulesMetric,1000,20.0,0.7821917533874512
parsimony,global,rule_based,SurrogateDecisionTreeExplainer,AvgRuleLengthMetric,1000,8.333333333333334,0.7821919918060303
stability,global,rule_based,SurrogateDecisionTreeExplainer,ChangeSeedMetric,1000,1.0,0.7866566181182861
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleCoverageMetric,1000,0.48204,2.482975721359253
contextfulness,global,rule_based,SurrogateDecisionTreeExplainer,RuleOverlapMetric,1000,0.0,27.016127586364746
consistency,global,rule_based,SurrogateDecisionTreeExplainer,SensitivityMetric,1000,1.0,69.74702262878418
soundness,global,feature_importance,SurrogateLogisticRegressionExplainer,FidelityMetric,1000,0.9967595846021707,0.46921610832214355
stability,global,feature_importance,SurrogateLogisticRegressionExplainer,ChangeSeedMetric,1000,1.0,0.43697643280029297
consistency,global,feature_importance,SurrogateLogisticRegressionExplainer,SensitivityMetric,1000,1.0,73.21604704856873
parsimony,global,feature_importance,SurrogateLogisticRegressionExplainer,ComplexityMetric,1000,0.006391128894647324,0.4607844352722168
soundness,global,feature_importance,SurrogateMultinomialNBExplainer,FidelityMetric,1000,0.8956710210298167,0.04265618324279785
stability,global,feature_importance,SurrogateMultinomialNBExplainer,ChangeSeedMetric,1000,1.0,0.012399911880493164
consistency,global,feature_importance,SurrogateMultinomialNBExplainer,SensitivityMetric,1000,1.0,75.05719757080078
parsimony,global,feature_importance,SurrogateMultinomialNBExplainer,ComplexityMetric,1000,1.5007798211397194e-05,0.01289677619934082
